title	year	format	source	imdb_id
Revolutionary Road	2008	NA	Loftet 07	tt0959337
Rise of the Planet of the Apes	2011	NA	Loftet 07	tt1318514
Robin Hood	1973	DVD	Loftet 06	tt0070608
Robin Hood	2010	NA	Loftet 07	tt0955308
RoboCop	1987	NA	Loftet 07	tt0093870
RoboCop 2	1990	NA	Loftet 07	tt0100502
RoboCop 3	1993	NA	Loftet 07	tt0107978
Robots	2005	DVD	Loftet 04	tt0358082
Rollerball	2002	NA	Loftet 07	tt0246894
Romeo + Juliet	1996	DVD	Loftet 04	tt0117509
Saturday Night Fever	1977	DVD	Loftet 04	tt0076666
Secret Window	2004	NA	Loftet 07	tt0363988
September	1987	NA	Loftet 07	tt0093940
Serenity	2005	DVD	Loftet 02	tt0379786
Shadows and Fog	1991	NA	Loftet 07	tt0105378
Short Cuts	1993	DVD	Loftet 01	tt0108122
Silent Movie	1976	NA	Loftet 07	tt0075222
Silent Running	1972	NA	Loftet 07	tt0067756
Singin' in the Rain	1952	DVD	Loftet 04	tt0045152
Six-String Samurai	1998	NA	Loftet 07	tt0118736
Sleeper	1973	NA	Loftet 07	tt0070707
Sleeping Beauty	1959	DVD	Loftet 06	tt0053285
Sleeping Beauty	2011	NA	Loftet 07	tt1588398
Slumdog Millionaire	2008	DVD	Loftet 05	tt1010048
Snow White and the Seven Dwarfs	1937	Blu-ray	Loftet 06	tt0029583
Source Code	2011	NA	Loftet 07	tt0945513
Soylent Green	1973	NA	Loftet 07	tt0070723
Spaceballs	1987	NA	Loftet 07	tt0094012
Splice	2009	NA	Loftet 07	tt1017460
Star Trek	2009	DVD	Loftet 02	tt0796366
Star Trek Evolutions	2009		Loftet 02	tt3255584
Star Trek II: The Wrath of Khan	1982		Loftet 02	tt0084726
Star Trek III: The Search for Spock	1984		Loftet 02	tt0088170
Star Trek IV: The Voyage Home	1986		Loftet 02	tt0092007
Star Trek V: The Final Frontier	1989		Loftet 02	tt0098382
Star Trek VI: The Undiscovered Country	1991		Loftet 02	tt0102975
Star Trek: First Contact	1996		Loftet 02	tt0117731
Star Trek: Generations	1994		Loftet 02	tt0111280
Star Trek: Insurrection	1998		Loftet 02	tt0120844
Star Trek: Nemesis	2002		Loftet 02	tt0253754
Star Trek: The Motion Picture	1979		Loftet 02	tt0079945
Star Wars: Episode IV - A New Hope	1977	DVD	Loftet 02	tt0076759
Star Wars: Episode V - The Empire Strikes Back	1980	DVD	Loftet 02	tt0080684
Star Wars: Episode VI - Return of the Jedi	1983	DVD	Loftet 02	tt0086190
Stardust Memories	1980	NA	Loftet 07	tt0081554
Strange Days	1995	NA	Loftet 07	tt0114558
Sucker Punch	2011	DVD	Loftet 01	tt0978764
Super 8	2011	NA	Loftet 07	tt1650062
Superbad	2007	NA	Loftet 07	tt0829482
Superhero Movie	2008	NA	Loftet 07	tt0426592
Sweeney Todd	2006	DVD	Loftet 04	tt0479760
Sweet and Lowdown	1999	NA	Loftet 07	tt0158371
Sympathy for Mr. Vengeance	2002	DVD	Loftet 05	tt0310775
Taken	2002	DVD	Loftet 02	tt0289830
Tangled	2010	Blu-ray	Loftet 06	tt0398286
Tarzan	1999	DVD	Loftet 06	tt0120855
Terminator 2: Judgment Day	1991	DVD	Loftet 02	tt0103064
Terminator 3: Rise of the Machines	2003	DVD	Loftet 02	tt0181852
Terminator Salvation	2009	DVD	Loftet 02	tt0438488
The Abyss	1989	DVD	Loftet 02	tt0096754
The Animatrix	2003	DVD	Loftet 02	tt0328832
The Beach	2000	DVD	Loftet 04	tt0163978
The Birdcage	1996	DVD	Loftet 04	tt0115685
The Black Cauldron	1985	DVD	Loftet 06	tt0088814
The Blood of Heroes	1989	NA	Loftet 07	tt0094764
The Book of Eli	2010	NA	Loftet 07	tt1037705
The Captain's Summit	2009		Loftet 02	tt1394315
The Curse of the Jade Scorpion	2001	NA	Loftet 07	tt0256524
The Devil Wears Prada	2006	DVD	Loftet 05	tt0458352
The Final Cut	2004	NA	Loftet 07	tt0364343
The Fox and the Hound	1981	DVD	Loftet 06	tt0082406
The Girl Who Played with Fire	2009	NA	Loftet 07	tt1216487
The Great Mouse Detective	1986	DVD	Loftet 06	tt0091149
The Hunger	1983	DVD	Loftet 01	tt0085701
The Incredibles	2004	DVD	Loftet 04	tt0317705
The Island	2005	NA	Loftet 07	tt0399201
The Jungle Book	1967	DVD	Loftet 06	tt0061852
The Killing	1956	DVD	Loftet 05	tt0049406
The Last Battle	1983	NA	Loftet 07	tt0085426
The Life Aquatic with Steve Zissou	2004		Loftet 05	tt0362270
The Lion King	1994	DVD	Loftet 06	tt0110357
The Little Mermaid	1989	DVD	Loftet 06	tt0097757
The Lost World: Jurassic Park	1997	DVD	Loftet 05	tt0119567
The Man in the Iron Mask	1998	DVD	Loftet 04	tt0120744
The Many Adventures of Winnie the Pooh	1977	DVD	Loftet 06	tt0076363
The Matrix	1999	DVD	Loftet 02	tt0133093
The Matrix Reloaded	2003	DVD	Loftet 02	tt0234215
The Matrix Revolutions	2003	DVD	Loftet 02	tt0242653
The Nightmare Before Christmas	1993	Blu-ray	Loftet 06	tt0107688
The Omega Man	1971	NA	Loftet 07	tt0067525
The Polar Express	2004	Blu-ray 3D	Loftet 04	tt0338348
The Postman	1997	NA	Loftet 07	tt0119925
The Producers	1967	NA	Loftet 07	tt0063462
The Producers	2005	DVD	Loftet 04	tt0395251
The Proposition	2005	DVD	Loftet 01	tt0421238
