Title	Release Date	Genres	Runtime	Director	Format	Distributor	Added Date
Broadway Danny Rose	1984	Comedy	01:24	Woody Allen			Jan 29, 2025
Can't Hardly Wait	1998	Comedy | Romance	01:40	Harry Elfont | Deborah Kaplan			Jan 29, 2025
Cherry 2000	1987	Action | Adventure | Comedy | Romance | Science Fiction	01:39	Steve De Jarnatt			Jan 29, 2025
Circumstance	2011	Drama	01:47	Maryam Keshavarz			Jan 29, 2025
Close Encounters of the Third Kind	1977	Drama | Science Fiction	02:18	Steven Spielberg			Jan 29, 2025
Code 46	2003	Drama | Romance | Science Fiction | Thriller	01:33	Michael Winterbottom			Jan 29, 2025
Contagion	2011	Drama | Thriller	01:46	Steven Soderbergh			Jan 29, 2025
Crimes and Misdemeanors	1989	Comedy | Drama	01:44	Woody Allen			Jan 29, 2025
The Curse of the Jade Scorpion	2001	Comedy | Crime | Mystery | Romance	01:43	Woody Allen			Jan 29, 2025
Cyborg	1989	Action | Science Fiction | Thriller	01:26	Albert Pyun			Jan 29, 2025
Dark City	1998	Fantasy | Mystery | Science Fiction | Thriller	01:40	Alex Proyas			Jan 29, 2025
Death Race	2008	Action | Science Fiction | Thriller	01:45	Paul W.S. Anderson			Jan 29, 2025
Deconstructing Harry	1997	Comedy	01:36	Woody Allen			Jan 29, 2025
DEFCON-4	1985	Action | Adventure | Science Fiction | Thriller	01:28	Paul Donovan | Digby Cook | Tony Randel			Jan 29, 2025
Die Hard	1988	Action | Thriller	02:12	John McTiernan			Jan 29, 2025
Die Hard 2	1990	Action | Thriller	02:04	Renny Harlin			Jan 29, 2025
Die Hard with a Vengeance	1995	Action | Adventure | Thriller	02:08	John McTiernan			Jan 29, 2025
Dracula: Dead and Loving It	1995	Comedy | Fantasy | Horror	01:28	Mel Brooks			Jan 29, 2025
Les émotifs anonymes	2010	Comedy | Romance	01:20	Jean-Pierre Améris			Jan 29, 2025
Equilibrium	2002	Action | Drama | Science Fiction | Thriller	01:47	Kurt Wimmer			Jan 29, 2025
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask	1972	Comedy	01:28	Woody Allen			Jan 29, 2025
eXistenZ	1999	Horror | Mystery | Science Fiction | Thriller	01:37	David Cronenberg			Jan 29, 2025
Fast Times at Ridgemont High	1982	Comedy | Drama	01:30	Amy Heckerling			Jan 29, 2025
Ferris Bueller's Day Off	1986	Comedy	01:43	John Hughes			Jan 29, 2025
Fierce Creatures	1997	Comedy	01:33	Robert Young | Fred Schepisi			Jan 29, 2025
The Final Cut	2004	Drama | Science Fiction | Thriller	01:35	Omar Naim			Jan 29, 2025
A Fish Called Wanda	1988	Comedy | Crime	01:48	Charles Crichton | John Cleese			Jan 29, 2025
Flash Gordon	1980	Action | Adventure | Science Fiction	01:51	Mike Hodges			Jan 29, 2025
Fortress	1992	Action | Crime | Science Fiction | Thriller	01:35	Stuart Gordon			Jan 29, 2025
Fried Green Tomatoes	1991	Drama	02:10	Jon Avnet			Jan 29, 2025
Gamer	2009	Action | Science Fiction | Thriller	01:35	Mark Neveldine | Brian Taylor			Jan 29, 2025
Genesis II	1973	Drama | Science Fiction | Thriller	01:14	John Llewellyn Moxey			Jan 29, 2025
Ghost in the Shell	1995	Action | Animation | Crime | Drama | Mystery | Science Fiction | Thriller	01:23	Mamoru Oshii			Jan 29, 2025
Ghost in the Shell 2: Innocence	2004	Animation | Drama | Mystery | Science Fiction | Thriller	01:40	Mamoru Oshii | Naoko Kusumi | Mizuho Nishikubo			Jan 29, 2025
Girl Who Kicked the Hornet's Nest	2009	Crime | Drama | Mystery | Thriller	02:27	Daniel Alfredson			Jan 29, 2025
The Girl Who Played with Fire	2009	Action | Crime | Drama | Mystery | Thriller	02:09	Daniel Alfredson			Jan 29, 2025
The Girl With The Dragon Tattoo	2009	Crime | Drama | Mystery | Thriller	02:32	Niels Arden Oplev			Jan 29, 2025
Good Morning, Vietnam	1987	Biography | Comedy | Drama | War	02:01	Barry Levinson			Jan 29, 2025
Hanna	2011	Action | Adventure | Drama | Thriller	01:51	Joe Wright			Jan 29, 2025
Hannah and Her Sisters	1986	Comedy | Drama	01:47	Woody Allen			Jan 29, 2025
Happy Feet	2006	Adventure | Animation | Comedy | Family | Music | Musical | Romance	01:48	George Miller | Warren Coleman | Judy Morris			Jan 29, 2025
Hardware	1990	Horror | Science Fiction | Thriller	01:34	Richard Stanley			Jan 29, 2025
Hell Comes to Frogtown	1988	Action | Comedy | Science Fiction	01:26	Donald G. Jackson | R.J. Kizer			Jan 29, 2025
High Anxiety	1977	Comedy | Mystery | Thriller	01:34	Mel Brooks			Jan 29, 2025
Hocus Pocus	1993	Comedy | Family | Fantasy	01:36	Kenny Ortega			Jan 29, 2025
Hole in One	2009	Comedy | Sports	01:40	Drew Ann Rosenberg			Jan 29, 2025
Hollywood Ending	2002	Comedy | Romance	01:52	Woody Allen			Jan 29, 2025
Home Alone	1990	Comedy | Family	01:43	Chris Columbus			Jan 29, 2025
Home Alone 2: Lost in New York	1992	Adventure | Comedy | Crime | Family	02:00	Chris Columbus			Jan 29, 2025
How Not To Live Your Life: Season 1	2007	Comedy	03:00	Dan Clark | Gary Reich			Jan 29, 2025
How Not To Live Your Life: Season 2	2007	Comedy	00:00	Martin Dennis			Jan 29, 2025
How Not To Live Your Life: Season 3	2007	Comedy	00:00	Sam Leifer			Jan 29, 2025
How Not to Live Your Life: The Christmas Special	2011	Comedy	00:00	Sam Leifer			Jan 29, 2025
Husbands and Wives	1992	Comedy | Drama | Romance	01:48	Woody Allen			Jan 29, 2025
I Can't Think Straight	2008	Drama | Romance	01:22	Shamim Sarif			Jan 29, 2025
Idiocracy	2006	Adventure | Comedy | Science Fiction | Thriller	01:24	Mike Judge			Jan 29, 2025
Interiors	1978	Drama	01:32	Woody Allen			Jan 29, 2025
The Island	2005	Action | Science Fiction | Thriller	02:16	Michael Bay			Jan 29, 2025
Jamie Oliver's Food Revolution: Season 1	2010		00:00	Brian Smith			Jan 29, 2025
Jamie Oliver's Food Revolution: Season 2	2010		00:00				Jan 29, 2025
La jetée	1962	Drama | Romance | Science Fiction	00:28	Chris Marker			Jan 29, 2025
Kamikaze Girls	2004	Comedy	01:42	Tetsuya Nakashima			Jan 29, 2025
Kung Fu Panda	2008	Action | Adventure | Animation | Comedy | Family | Fantasy	01:32	Mark Osborne | John Stevenson			Jan 29, 2025
The Last Battle	1983	Science Fiction	01:32	Luc Besson			Jan 29, 2025
Let Me In	2010	Drama | Fantasy | Horror | Mystery | Thriller	01:56	Matt Reeves			Jan 29, 2025
Limitless	2011	Science Fiction | Thriller	01:45	Neil Burger			Jan 29, 2025
Live Free or Die Hard	2007	Action | Thriller	02:08	Len Wiseman			Jan 29, 2025
Logan's Run	1976	Action | Adventure | Science Fiction	01:59	Michael Anderson			Jan 29, 2025
Love and Death	1975	Comedy | War	01:25	Woody Allen			Jan 29, 2025
Manhattan	1979	Comedy | Drama | Romance	01:36	Woody Allen			Jan 29, 2025
Marie Antoinette	2006	Biography | Drama | History | Romance	02:03	Sofia Coppola			Jan 29, 2025
Marmaduke	2010	Comedy | Family	01:27	Tom Dey			Jan 29, 2025
Matilda	1996	Comedy | Family | Fantasy	01:38	Danny DeVito			Jan 29, 2025
Mean Girls	2004	Comedy	01:37	Mark Waters			Jan 29, 2025
Melancholia	2011	Drama | Science Fiction	02:15	Lars von Trier			Jan 29, 2025
Melancholia	2007	Horror	01:30	Takaaki Ezura			Jan 29, 2025
Mermaids	1990	Comedy | Drama | Romance	01:50	Richard Benjamin			Jan 29, 2025
Metropolis	2001	Adventure | Animation | Drama | Science Fiction	01:48	Rintaro			Jan 29, 2025
Metropolis	1927	Drama | Science Fiction	02:33	Fritz Lang			Jan 29, 2025
A Midsummer Night's Sex Comedy	1982	Comedy	01:28	Woody Allen			Jan 29, 2025
The Mighty Boosh: Series 1	2004	Comedy | Fantasy | Musical	04:09	Paul King | Steve Bendelack			Jan 29, 2025
The Mighty Boosh: Series 2	2005	Comedy | Fantasy | Musical	02:45	Paul King			Jan 29, 2025
The Mighty Boosh: Series 3	2007	Comedy | Fantasy | Musical	03:00	Paul King			Jan 29, 2025
Miss Congeniality	2000	Action | Comedy | Crime | Romance	01:49	Donald Petrie			Jan 29, 2025
Moon	2009	Drama | Mystery | Science Fiction	01:37	Duncan Jones			Jan 29, 2025
My Girl	1991	Comedy | Drama | Family | Romance	01:42	Howard Zieff			Jan 29, 2025
My Girl 2	1994	Comedy | Drama | Family | Romance	01:39	Howard Zieff			Jan 29, 2025
Natural City	2003	Action | Drama | Science Fiction | Thriller	01:54	Byung-chun Min			Jan 29, 2025
No Escape	2015	Action | Thriller	01:43	John E. Dowdle			Jan 29, 2025
The Omega Man	1971	Action | Drama | Science Fiction | Thriller	01:38	Boris Sagal			Jan 29, 2025
On the Beach	1959	Drama | Romance | Science Fiction	02:14	Stanley Kramer			Jan 29, 2025
One Point O	2004	Drama | Horror | Mystery | Science Fiction | Thriller	01:35	Jeff Renfroe | Marteinn Thorsson			Jan 29, 2025
Origin: Spirits of the Past	2006	Adventure | Animation | Drama | Family | Fantasy | Science Fiction	01:34	Makoto Bessho | Kentarô Mizuno | Ken'ichi Shimizu			Jan 29, 2025
The Postman	1997	Action | Adventure | Drama | Science Fiction	02:57	Kevin Costner			Jan 29, 2025
Prayer of the Rollerboys	1990	Action | Crime | Drama | Science Fiction	01:35	Rick King			Jan 29, 2025
The Producers	1967	Comedy | Music	01:28	Mel Brooks			Jan 29, 2025
The Purple Rose of Cairo	1985	Comedy | Fantasy | Romance	01:22	Woody Allen			Jan 29, 2025
The Quiet Earth	1985	Drama | Mystery | Science Fiction	01:31	Geoff Murphy			Jan 29, 2025
Radio Days	1987	Comedy	01:28	Woody Allen			Jan 29, 2025
Repo Men	2010	Action | Science Fiction | Thriller	01:51	Miguel Sapochnik			Jan 29, 2025
Repo! The Genetic Opera	2008	Horror | Musical | Science Fiction	01:38	Darren Lynn Bousman			Jan 29, 2025
Revenge of the Nerds	1984	Comedy	01:30	Jeff Kanew			Jan 29, 2025
Revolutionary Road	2008	Drama | Romance	01:59	Sam Mendes			Jan 29, 2025
Rise of the Planet of the Apes	2011	Action | Drama | Science Fiction | Thriller	01:45	Rupert Wyatt			Jan 29, 2025
The Road	2009	Drama | Thriller	01:51	John Hillcoat			Jan 29, 2025
Robin Hood	2010	Action | Adventure | Drama | History	02:20	Ridley Scott			Jan 29, 2025
RoboCop	1987	Action | Crime | Science Fiction | Thriller	01:42	Paul Verhoeven			Jan 29, 2025
RoboCop 2	1990	Action | Crime | Science Fiction | Thriller	01:57	Irvin Kershner			Jan 29, 2025
RoboCop 3	1993	Action | Crime | Science Fiction | Thriller	01:44	Fred Dekker			Jan 29, 2025
Rollerball	2002	Action | Science Fiction | Sports	01:38	John McTiernan			Jan 29, 2025
The Running Man	1987	Action | Science Fiction | Thriller	01:41	Paul Michael Glaser			Jan 29, 2025
A Scanner Darkly	2006	Animation | Comedy | Crime | Drama | Mystery | Science Fiction | Thriller	01:40	Richard Linklater			Jan 29, 2025
The Secret Diaries of Miss Anne Lister	2010	Biography | Drama | Romance	01:32	James Kent			Jan 29, 2025
The Secret Life of Bees	2008	Drama	01:54	Gina Prince-Bythewood			Jan 29, 2025
Secret Window	2004	Drama | Mystery | Thriller	01:36	David Koepp			Jan 29, 2025
September	1987	Drama	01:23	Woody Allen			Jan 29, 2025
Shadows and Fog	1991	Comedy	01:25	Woody Allen			Jan 29, 2025
Silent Movie	1976	Comedy	01:27	Mel Brooks			Jan 29, 2025
Silent Running	1972	Drama | Science Fiction	01:29	Douglas Trumbull			Jan 29, 2025
Six-String Samurai	1998	Action | Adventure | Comedy | Drama | Fantasy | Music | Science Fiction	01:31	Lance Mungia			Jan 29, 2025
Sleeper	1973	Comedy | Science Fiction	01:27	Woody Allen			Jan 29, 2025
Sleeping Beauty	2011	Drama | Mystery | Romance | Thriller	01:41	Julia Leigh			Jan 29, 2025
The Sleeping Beauty	2010	Adventure | Drama | Fantasy | Romance	01:22	Catherine Breillat			Jan 29, 2025
Source Code	2011	Action | Drama | Mystery | Science Fiction | Thriller	01:33	Duncan Jones			Jan 29, 2025
Soylent Green	1973	Crime | Mystery | Science Fiction | Thriller	01:37	Richard Fleischer			Jan 29, 2025
Spaceballs	1987	Adventure | Comedy | Science Fiction	01:36	Mel Brooks			Jan 29, 2025
Splice	2009	Horror | Science Fiction	01:44	Vincenzo Natali			Jan 29, 2025
Stardust Memories	1980	Comedy | Drama	01:29	Woody Allen			Jan 29, 2025
Strange Days	1995	Crime | Drama | Science Fiction | Thriller	02:25	Kathryn Bigelow			Jan 29, 2025
Super 8	2011	Action | Science Fiction | Thriller	01:52	J.J. Abrams			Jan 29, 2025
Superbad	2007	Comedy	01:53	Greg Mottola			Jan 29, 2025
Superhero Movie	2008	Action | Comedy | Science Fiction	01:15	Craig Mazin			Jan 29, 2025
Sweet and Lowdown	1999	Comedy | Drama | Music	01:35	Woody Allen			Jan 29, 2025
They Live	1988	Action | Horror | Science Fiction | Thriller	01:34	John Carpenter			Jan 29, 2025
Titan A.E.	2000	Action | Adventure | Animation | Family | Science Fiction	01:34	Don Bluth | Gary Goldman			Jan 29, 2025
To Be or Not to Be	1983	Comedy | Drama | War	01:47	Alan Johnson			Jan 29, 2025
Tomorrow, When the War Began	2010	Action | Adventure | Drama | Romance | Science Fiction | Thriller | War	01:44	Stuart Beattie			Jan 29, 2025
Transmorphers	2007	Action | Adventure | Mystery | Science Fiction | Thriller	01:26	Leigh Slawner			Jan 29, 2025
Transmutators	2007	Action | Fantasy | Science Fiction	01:50	Mark A. Reyes			Jan 29, 2025
Tron	1982	Action | Adventure | Science Fiction	01:36	Steven Lisberger			Jan 29, 2025
The Twelve Chairs	1970	Comedy	01:34	Mel Brooks			Jan 29, 2025
Videodrome	1983	Drama | Horror | Science Fiction | Thriller	01:27	David Cronenberg			Jan 29, 2025
The Witches	1990	Adventure | Comedy | Family | Fantasy | Horror | Mystery	01:31	Nicolas Roeg			Jan 29, 2025
Zelig	1983	Comedy	01:19	Woody Allen			Jan 29, 2025
